feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	timepoint	timepoint	0.0676796841605669	0.00992415608545315	63	63	6.9075511873189e-09	1.3118234378749e-07
d__Bacteria.p__Bdellovibrionota.c__Oligoflexia.o__Oligoflexales	timepoint	timepoint	-1.40294554946988	0.209346409850756	63	36	8.05950532288494e-09	1.51716652832553e-07
d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__SAR11_clade.f__Clade_II.g__Clade_II.__	timepoint	timepoint	-1.32154978408727	0.197537579613286	63	53	1.00161231316857e-08	1.86909567309544e-07
d__Bacteria.p__Campilobacterota	timepoint	timepoint	-0.663933337956856	0.0984645915572936	63	63	1.07472626560417e-08	1.94225370297168e-07
d__Bacteria.p__Campilobacterota.c__Campylobacteria	timepoint	timepoint	-0.663933337956856	0.0984645915572936	63	63	1.07472626560417e-08	1.94225370297168e-07
d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales	timepoint	timepoint	-0.663933337956856	0.0984645915572936	63	63	1.07472626560417e-08	1.94225370297168e-07
d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Arcobacteraceae	timepoint	timepoint	-0.664276429544576	0.0985254053639846	63	63	1.07701859577647e-08	1.94225370297168e-07
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Pseudoalteromonadaceae.__	timepoint	timepoint	1.08758043589477	0.160585961059388	63	63	1.10825376930323e-08	1.96554759415268e-07
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Alteromonadales.f__Pseudoalteromonadaceae.__.__	timepoint	timepoint	1.08758043589477	0.160585961059388	63	63	1.10825376930323e-08	1.96554759415268e-07
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Oceanospirillaceae	timepoint	timepoint	-0.619176704691341	0.0931529794595067	63	63	1.345571336049e-08	2.34763909525298e-07
d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Oceanospirillales.f__Oceanospirillaceae.g__Oceanospirillum	timepoint	timepoint	-0.619176704691341	0.0931529794595067	63	63	1.345571336049e-08	2.34763909525298e-07
d__Bacteria.p__Bdellovibrionota.c__Oligoflexia	timepoint	timepoint	-1.39848882217522	0.21323940680189	63	38	1.41058974499606e-08	2.44123031674318e-07
d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales.f__Mycobacteriaceae	timepoint	timepoint	-1.07401505974308	0.163164729616713	63	55	1.63803398612758e-08	2.76387984528732e-07
d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales.f__Mycobacteriaceae.g__Mycobacterium	timepoint	timepoint	-1.07401505974308	0.163164729616713	63	55	1.63803398612758e-08	2.76387984528732e-07
d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales.f__Mycobacteriaceae.g__Mycobacterium.__	timepoint	timepoint	-1.07401505974308	0.163164729616713	63	55	1.63803398612758e-08	2.76387984528732e-07
